State_Year,Year,State,TOTAL_REVENUE,TOTAL_EXPENDITURE,GRADES_9_12_G,GRADES_ALL_G,Count
2012_LA,2012,LA,8477993.0,8504567.0,186111.0,710903.0,44458
2012_MA,2012,MA,15763456.0,15696061.0,287506.0,954773.0,80586
2012_MD,2012,MD,13752912.0,13212140.0,256836.0,859638.0,44678
2012_ME,2012,ME,2611056.0,2625759.0,57815.0,185739.0,10736
2012_MI,2012,MI,18622316.0,18063824.0,492272.0,1555370.0,57882
2012_MN,2012,MN,10681609.0,10696348.0,262041.0,845404.0,38466
2012_MO,2012,MO,10022622.0,9910617.0,270370.0,917900.0,50454
2012_MS,2012,MS,4477828.0,4423270.0,133809.0,493650.0,12144
2012_MT,2012,MT,1628318.0,1652537.0,42089.0,142908.0,9530
2012_NC,2012,NC,12788659.0,13418244.0,438375.0,1518465.0,63406
2012_ND,2012,ND,1345371.0,1380563.0,30116.0,101111.0,3416
2012_NE,2012,NE,3764056.0,3880517.0,88073.0,303505.0,17658
2012_NH,2012,NH,2963221.0,2961684.0,60805.0,188974.0,7334
2012_NJ,2012,NJ,27574528.0,26432652.0,400875.0,1372203.0,57388
2012_NM,2012,NM,3478709.0,3616691.0,97242.0,338220.0,17958
2012_NV,2012,NV,4053945.0,4109706.0,131953.0,445707.0,43346
2012_NY,2012,NY,58981073.0,60216421.0,825972.0,2710703.0,307774
2012_OH,2012,OH,22799205.0,22662376.0,518617.0,1729916.0,66324
2012_OK,2012,OK,5824963.0,5594867.0,176812.0,673483.0,23212
2012_OR,2012,OR,6124872.0,6314092.0,178239.0,587564.0,79232
2012_PA,2012,PA,27881568.0,27851918.0,557464.0,1763677.0,70280
2012_RI,2012,RI,2208278.0,2190431.0,44672.0,142481.0,5916
2012_SC,2012,SC,7889771.0,7948441.0,208648.0,735998.0,22858
2012_SD,2012,SD,1298723.0,1296971.0,37267.0,130471.0,4236
2012_TN,2012,TN,8983224.0,9256522.0,281971.0,993496.0,49338
2012_TX,2012,TX,49979753.0,50215314.0,1387513.0,5077659.0,171536
2012_UT,2012,UT,4217360.0,4330417.0,169077.0,613279.0,16540
2012_VA,2012,VA,14940479.0,15129464.0,375975.0,1265419.0,42042
2012_VT,2012,VT,1754161.0,1726321.0,27557.0,89624.0,5770
2012_WA,2012,WA,11955582.0,12187889.0,327134.0,1051694.0,93818
2012_WI,2012,WI,11139967.0,10724377.0,265682.0,872436.0,27134
2012_WY,2012,WY,1664983.0,1670728.0,26243.0,91533.0,9682
2013_AK,2013,AK,2545117.0,2665933.0,38230.0,130944.0,8940
2013_AL,2013,AL,7197439.0,7487741.0,218705.0,746204.0,23210
2013_AR,2013,AR,5067546.0,5226339.0,140185.0,489979.0,18580
2013_AZ,2013,AZ,8164324.0,7600581.0,327144.0,1102445.0,49444
2013_CA,2013,CA,68868516.0,69727119.0,1952314.0,6312623.0,632446
2013_CO,2013,CO,8826868.0,8699125.0,249380.0,876999.0,47506
2013_CT,2013,CT,10319361.0,9758850.0,169038.0,546200.0,22658
2013_DC,2013,DC,1300036.0,1308438.0,17717.0,78153.0,36566
2013_DE,2013,DE,1930466.0,1924626.0,38483.0,131687.0,4246
2013_FL,2013,FL,24681548.0,25245400.0,807034.0,2720744.0,241046
2013_GA,2013,GA,17459504.0,17317504.0,490032.0,1723909.0,83822
2013_HI,2013,HI,2331770.0,2345917.0,50806.0,186825.0,31176
2013_IA,2013,IA,6281345.0,6318241.0,145011.0,502964.0,14102
