State_Year,Year,State,Other,Sheltered,Unsheltered
2014_VT,2014,VT,3804,3359,445
2014_WA,2014,WA,43387,28427,14960
2014_WI,2014,WI,13678,12814,864
2014_WV,2014,WV,5323,4077,1246
2014_WY,2014,WY,1918,1429,489
2015_AK,2015,AK,4903,3892,1011
2015_AL,2015,AL,10169,7028,3141
2015_AR,2015,AR,7262,4633,2629
2015_AZ,2015,AZ,25512,16635,8877
2015_CA,2015,CA,330941,106048,224893
2015_CO,2015,CO,26310,17885,8425
2015_CT,2015,CT,9941,7968,1973
2015_DC,2015,DC,20260,18456,1804
2015_DE,2015,DE,2342,2251,91
2015_FL,2015,FL,94627,46271,48356
2015_GA,2015,GA,34752,18837,15915
2015_GU,2015,GU,2937,177,2760
2015_HI,2015,HI,19889,8552,11337
2015_IA,2015,IA,7664,7112,552
2015_ID,2015,ID,5004,3641,1363
2015_IL,2015,IL,34292,26247,8045
2015_IN,2015,IN,15023,13361,1662
2015_KS,2015,KS,5870,5041,829
2015_KY,2015,KY,11326,9565,1761
2015_LA,2015,LA,11105,7397,3708
2015_MA,2015,MA,52103,50341,1762
2015_MD,2015,MD,22643,16916,5727
2015_ME,2015,ME,5800,5639,161
2015_MI,2015,MI,26843,23797,3046
2015_MN,2015,MN,20572,17921,2651
2015_MO,2015,MO,17533,14234,3299
2015_MS,2015,MS,4883,2640,2243
2015_MT,2015,MT,4506,1989,2517
2015_NC,2015,NC,26841,20034,6807
2015_ND,2015,ND,3346,2129,1217
2015_NE,2015,NE,7018,6608,410
2015_NH,2015,NH,3954,3544,410
2015_NJ,2015,NJ,26228,23203,3025
2015_NM,2015,NM,7472,5908,1564
2015_NV,2015,NV,24324,10552,13772
2015_NY,2015,NY,206336,192856,13480
2015_OH,2015,OH,28466,25167,3299
2015_OK,2015,OK,10179,7752,2427
2015_OR,2015,OR,39063,15620,23443
2015_PA,2015,PA,39077,34789,4288
2015_PR,2015,PR,13185,3522,9663
2015_RI,2015,RI,2797,2683,114
2015_SC,2015,SC,14040,8893,5147
2015_SD,2015,SD,2749,2364,385
2015_TN,2015,TN,24061,14947,9114
2015_TX,2015,TX,61763,39858,21905
2015_UT,2015,UT,7225,6661,564
2015_VA,2015,VA,18027,15487,2540
2015_VI,2015,VI,776,190,586
2015_VT,2015,VT,3802,3358,444
2015_WA,2015,WA,48748,29870,18878
2015_WI,2015,WI,14918,13711,1207
2015_WV,2015,WV,5112,3744,1368
2015_WY,2015,WY,2030,1264,766
2016_AK,2016,AK,4666,3598,1068
2016_AL,2016,AL,10050,6886,3164
2016_AR,2016,AR,6595,4116,2479
2016_AZ,2016,AZ,24940,15909,9031
2016_CA,2016,CA,334258,99971,234287
2016_CO,2016,CO,27776,19245,8531
2016_CT,2016,CT,9407,7601,1806
2016_DC,2016,DC,22408,21198,1210
2016_DE,2016,DE,2537,2417,120
2016_FL,2016,FL,87123,44094,43029
2016_GA,2016,GA,32258,17828,14430
2016_GU,2016,GU,2346,241,2105
2016_HI,2016,HI,21297,8082,13215
2016_IA,2016,IA,7387,6971,416
2016_ID,2016,ID,5822,3797,2025
2016_IL,2016,IL,28762,23854,4908
2016_IN,2016,IN,14490,12482,2008
2016_KS,2016,KS,5004,4320,684
2016_KY,2016,KY,10445,8570,1875
2016_LA,2016,LA,10523,7125,3398
2016_MA,2016,MA,47370,45206,2164
2016_MD,2016,MD,19740,15314,4426
2016_ME,2016,ME,5522,5138,384
2016_MI,2016,MI,23339,20748,2591
2016_MN,2016,MN,19052,16690,2362
2016_MO,2016,MO,17659,13903,3756
2016_MS,2016,MS,4207,1999,2208
2016_MT,2016,MT,3541,1874,1667
2016_NC,2016,NC,23838,17701,6137
2016_ND,2016,ND,2394,1709,685
2016_NE,2016,NE,6781,6497,284
2016_NH,2016,NH,3702,3262,440
2016_NJ,2016,NJ,21931,18010,3921
2016_NM,2016,NM,6465,4901,1564
2016_NV,2016,NV,19795,8216,11579
2016_NY,2016,NY,199225,187298,11927
2016_OH,2016,OH,25328,22139,3189
2016_OK,2016,OK,10954,7918,3036
2016_OR,2016,OR,37522,13322,24200
2016_PA,2016,PA,38077,33317,4760
2016_PR,2016,PR,12957,3294,9663
2016_RI,2016,RI,2898,2816,82
2016_SC,2016,SC,13520,8532,4988
2016_SD,2016,SD,2569,2148,421
2016_TN,2016,TN,23146,14342,8804
2016_TX,2016,TX,59091,39573,19518
2016_UT,2016,UT,6693,6141,552
2016_VA,2016,VA,15631,13473,2158
2016_VI,2016,VI,782,196,586
2016_VT,2016,VT,2881,2437,444
2016_WA,2016,WA,51931,30103,21828
2016_WI,2016,WI,13828,12723,1105
2016_WV,2016,WV,3510,3103,407
2016_WY,2016,WY,2092,1190,902
